CustomerNo,Recency,Frequency,Monetary
12004,228,1,1509.6
12006,219,1,24.76
12008,277,1,5689.57
12013,360,1,69.96000000000001
12024,177,1,149.51999999999998
12025,288,1,1021.59
12026,340,1,20486.32
12031,71,1,136.18
12042,265,1,6296.7699999999995
12043,158,1,1235.59
12050,149,1,141.67000000000002
12057,32,2,4816.81
12063,218,1,39.33
12067,18,1,14293.33
12078,285,1,2667.2599999999998
12080,185,1,14378.82
12081,359,1,13.27
12082,298,1,32.89
12087,185,1,857.34
12089,265,1,1179.53
12090,185,1,736.23
12093,185,1,1961.44
12100,248,1,10683.71
12115,9,2,14211.470000000001
12116,166,1,2076.5099999999998
12120,166,1,454.16
12128,330,1,472.13
12130,32,1,63.56
12134,78,1,7825.83
12151,176,1,215.29
12154,339,1,9140.619999999999
12160,120,1,51.2
12161,157,1,48.53
12165,256,1,1283.18
12167,256,1,1457.46
12171,309,1,1921.96
12174,43,1,111.75
12185,50,1,8369.02
12202,71,1,6810.79
12204,239,1,544.48
12205,239,1,1016.4
12214,296,1,10198.44
12221,108,2,16948.03
12230,108,1,16299.9
12231,176,1,5513.19
12236,166,1,65.52
12240,166,1,3656.61
12242,166,2,499.9
12245,146,2,2779.77
12255,318,1,5592.11
12256,2,2,6600.63
12278,239,1,8417.1
12286,99,1,1567.91
12290,145,1,642.38
12293,201,2,1332.27
12309,37,1,12.86
12321,191,2,561.99
12324,173,3,6207.42
12325,227,1,104.32
12336,191,1,638.92
12338,215,1,825.42
12340,227,1,4866.7699999999995
12348,76,4,25377.36
12349,19,1,7951.1
12350,128,2,2371.9
12352,37,7,6811.92
12353,205,1,296.24
12354,233,1,6356.94
12355,215,1,2930.62
12356,23,4,20298.05
12358,2,3,23772.82
12359,58,4,23878.48
12360,53,3,13959.64
12361,288,1,922.62
12362,4,10,24367.78
12363,110,2,4747.08
12364,8,5,15842.75
12365,292,1,2101.83
12367,5,2,1268.6000000000001
12371,60,1,7411.53
12372,72,3,9302.48
12373,255,2,7980.55
12374,26,1,4112.9
12375,11,2,1385.9
12377,316,2,11241.34
12379,82,2,4315.0599999999995
12380,22,4,12159.37
12381,5,3,9136.37
12383,185,5,17227.829999999998
12384,29,2,1575.27
12386,338,2,4040.2999999999997
12387,208,1,5326.62
12388,16,6,16632.03
12390,80,1,4104.7
12391,22,1,3441.78
12393,73,6,8314.75
12394,64,2,9390.52
12396,263,1,6765.1
12397,36,3,15955.51
12398,46,1,15525.12
12399,120,4,12422.4
12401,304,1,124.47
12402,324,1,837.5
12403,50,1,1364.64
12405,149,1,10126.52
12406,23,2,21277.63
12407,50,5,15924.92
12408,33,5,16083.97
12410,309,2,2668.2999999999997
12411,262,1,55.24
12412,75,3,9420.63
12413,67,3,3307.89
12414,67,4,18177.6
12417,4,9,17859.88
12418,113,1,4856.91
12420,64,1,4151.1
12421,16,4,5091.65
12422,96,4,14914.25
12423,1,9,14766.41
12424,163,2,9389.81
12425,79,1,5638.98
12426,195,1,3126.61
12427,22,3,6109.77
12429,10,4,16106.1
12430,44,1,1410.68
12432,36,5,22880.21
12434,85,2,4864.51
12436,100,1,2581.38
12438,15,2,10591.5
12442,4,1,1297.84
12444,22,6,15868.42
12445,23,1,694.3199999999999
12446,58,1,4259.83
12447,244,1,2236.38
12448,45,1,2834.36
12449,23,4,18993.77
12450,157,2,1216.1399999999999
12452,17,1,1115.05
12453,135,1,5572.6
12454,57,1,13925.84
12455,74,5,23158.08
12456,45,3,19229.12
12457,67,7,9444.71
12458,72,3,14297.16
12461,155,1,3532.59
12462,19,2,6362.73
12463,11,5,8933.32
12464,11,8,1657.98
12465,18,2,5567.22
12468,188,3,15966.38
12469,292,1,615.22
12473,54,3,26438.23
12475,54,1,6077.06
12476,16,11,26116.98
12478,4,1,1547.87
12479,12,2,2706.55
12480,29,4,20048.2
12483,18,8,12931.64
12484,36,4,25515.73
12485,356,1,30.7
12488,10,3,5085.36
12489,337,1,1361.97
12491,39,2,4623.28
12492,64,2,2042.1
12493,166,2,1759.1699999999998
12494,16,7,7273.18
12497,82,1,13594.44
12498,22,3,1658.67
12501,337,1,20100.06
12502,96,5,11027.11
12504,19,2,1330.34
12505,254,1,1833.6399999999999
12506,233,1,311.08
12507,135,3,10264.7
12508,11,3,13111.33
12509,285,1,715.8399999999999
12510,143,2,4391.04
12512,67,2,1119.46
12513,113,1,4916.2
12514,268,1,5134.98
12515,155,2,1982.8799999999999
12516,78,3,15771.619999999999
12517,29,5,15647.84
12518,1,5,14202.72
12519,64,1,2046.58
12520,80,6,17015.59
12521,143,1,3386.0699999999997
